peatones_por_hora,cruces_verde
100,83
200,171
300,246
400,318
500,363
600,446
700,507
800,552
900,609
1000,623
1100,663
1200,678
1300,706
1400,739
1500,768
1600,754
1700,745
1800,810
1900,260
2000,27
